time,latitude,longitude,depth,mag,place
2016-04-22T03:03:41.720Z,-0.2921,-80.5039,10,6,Ecuador
2016-04-20T08:35:10.620Z,0.7079,-80.0352,10,6,Ecuador
2016-04-20T08:33:47.330Z,0.639,-80.2104,14,6.2,Ecuador
2016-04-19T05:25:39.940Z,-55.7283,-27.2307,14,6.2,South Georgia and the South Sandwich Islands
2016-04-16T23:58:36.980Z,0.3819,-79.9218,20.59,7.8,Ecuador
2016-04-15T16:25:06.220Z,32.7906,130.7543,10,7,Japan
2016-04-15T14:11:26.430Z,13.4008,-92.367,22.41,6.1,Guatemala
2016-04-14T21:50:27.680Z,-14.5284,166.4334,16,6.4,Vanuatu
2016-04-14T15:03:47.240Z,32.6973,130.7204,8,6,Japan
2016-04-14T12:26:35.730Z,32.788,130.7042,9,6.2,Japan
2016-04-13T18:21:52.730Z,7.7917,122.0231,17,6,Philippines
2016-04-13T13:55:17.800Z,23.0944,94.8654,136,6.9,Burma
2016-04-10T10:28:58.720Z,36.4725,71.1311,212,6.6,Afghanistan
2016-04-07T03:32:53.500Z,-13.9805,166.5943,27.59,6.7,Vanuatu
2016-04-06T14:45:29.620Z,-8.2036,107.3857,29,6.1,Indonesia
2016-04-06T06:58:48.210Z,-14.0683,166.6245,24,6.7,Vanuatu
2016-04-03T08:23:52.320Z,-14.3235,166.8551,26,6.9,Vanuatu
2016-04-01T19:24:55.370Z,-3.3585,144.887,6,6.2,Papua New Guinea
2016-03-20T22:50:20.430Z,54.294,162.8129,30,6.4,Russia
2016-03-19T11:26:33.230Z,17.996,-60.7019,26,6,Barbuda
2016-03-19T01:35:12.170Z,51.5145,-174.1423,17,6,Alaska
2016-03-12T18:06:44.760Z,51.5648,-173.9423,19,6.3,Alaska
2016-03-02T12:49:48.110Z,-4.9521,94.3299,24,7.8,Indonesia
2016-02-27T21:29:43.570Z,-51.7897,139.5956,10,6.1,Western Indian-Antarctic Ridge
2016-02-22T06:36:59.400Z,-30.4242,-72.2967,12,6,Chile
2016-02-17T17:26:02.210Z,0.8597,129.0605,9,6,Indonesia
2016-02-16T23:48:35.680Z,-55.7841,-125.1659,13,6.1,Southern East Pacific Rise
2016-02-15T15:02:32.890Z,-20.9981,-175.4788,10,6,Tonga
2016-02-12T10:02:24.050Z,-9.6338,119.4013,28,6.3,Indonesia
2016-02-10T00:33:05.340Z,-30.5723,-71.5838,29,6.3,Chile
2016-02-08T16:19:12.780Z,-6.6207,154.7421,29,6.4,Papua New Guinea
2016-02-05T19:57:27.380Z,22.9375,120.6014,23,6.4,Taiwan
2016-02-01T19:00:46.280Z,-30.7539,-179.9504,391,6.2,New Zealand
2016-01-31T17:38:59.950Z,-63.263,169.1485,10,6.1,Balleny Islands region
2016-01-30T03:25:12.220Z,53.9776,158.5463,177,7.2,Russia
2016-01-26T03:10:20.750Z,-5.2952,153.2454,26,6.1,Papua New Guinea
2016-01-25T04:22:02.730Z,35.6493,-3.6818,12,6.3,Morocco
2016-01-24T10:30:30.230Z,59.6363,-153.4051,129,7.1,Alaska
2016-01-21T18:06:57.650Z,18.8239,-106.9337,10,6.6,Mexico
2016-01-14T03:25:33.640Z,41.9723,142.781,46,6.7,Japan
2016-01-14T03:25:28.270Z,-19.7597,-63.3288,582.56,6.1,Bolivia
2016-01-11T17:08:03.920Z,44.4761,141.0867,238.81,6.2,Japan
2016-01-11T16:38:05.900Z,3.8965,126.8621,13,6.5,Philippines
2016-01-05T09:34:14.620Z,-54.2906,-136.2603,10,6,Pacific-Antarctic Ridge
2016-01-03T23:05:22.270Z,24.8036,93.6505,55,6.7,India
2016-01-01T02:00:39.950Z,-50.5575,139.4489,10,6.3,Western Indian-Antarctic Ridge
2015-12-25T19:14:47.190Z,36.4935,71.1263,206,6.3,Afghanistan
2015-12-24T19:44:03.130Z,-55.755,-123.1158,12.28,6.2,Southern East Pacific Rise
2015-12-20T18:47:36.610Z,3.6455,117.6359,14,6.1,Indonesia
2015-12-19T02:10:53.360Z,-18.3819,169.3857,10,6,Vanuatu
2015-12-17T19:49:53.050Z,15.8015,-93.633,85,6.6,Mexico
2015-12-09T12:58:01.780Z,-16.7374,175.2475,10,6.1,Fiji
2015-12-09T10:21:48.530Z,-4.1064,129.5079,21,6.9,Indonesia
2015-12-07T07:50:05.950Z,38.2107,72.7797,22,7.2,Tajikistan
2015-12-04T22:25:00.110Z,-47.6165,85.0913,35,7.1,Southeast Indian Ridge
2015-11-27T21:00:22.920Z,-24.828,-70.6009,34,6.2,Chile
2015-11-26T05:45:18.400Z,-9.1825,-71.2574,602.75,6.7,Brazil
2015-11-24T22:50:54.370Z,-10.0598,-71.0184,620.56,7.6,Brazil
2015-11-24T22:45:38.880Z,-10.5372,-70.9437,606.21,7.6,Peru
2015-11-24T13:21:35.730Z,18.7787,145.2659,586.88,6,Northern Mariana Islands
2015-11-21T09:06:13.460Z,-7.1484,129.9375,82,6.1,Indonesia
2015-11-18T18:31:04.570Z,-8.8994,158.4217,12.59,6.8,Solomon Islands
2015-11-17T07:10:07.300Z,38.67,20.6,11,6.5,Greece
2015-11-13T20:51:31.030Z,31.0009,128.8729,12,6.7,Japan
2015-11-11T02:46:19.830Z,-29.5097,-72.0585,10,6.9,Chile
2015-11-11T01:54:38.570Z,-29.5067,-72.0068,12,6.9,Chile
2015-11-09T16:03:46.070Z,51.6394,-173.0746,15,6.5,Alaska
2015-11-08T16:47:02.160Z,6.8431,94.648,10,6.6,Indonesia
2015-11-07T07:31:43.870Z,-30.8796,-71.4519,46,6.8,Chile
2015-11-07T07:04:31.380Z,-29.4642,-72.3015,13,6.2,Chile
2015-11-04T03:44:15.190Z,-8.3381,124.8754,20,6.5,East Timor
2015-10-26T09:09:42.560Z,36.5244,70.3676,231,7.5,Afghanistan
2015-10-23T04:04:18.140Z,-45.8146,37.1711,10,6,Prince Edward Islands
2015-10-23T01:40:06.320Z,-54.2258,6.1653,11,6.2,Bouvet Island
2015-10-20T21:52:02.560Z,-14.8595,167.3028,135,7.1,Vanuatu
2015-10-18T16:18:35.520Z,-16.2018,-173.2608,12,6,Tonga
2015-10-14T05:43:08.300Z,48.8595,156.2259,12,6,Russia
2015-10-11T00:58:27.170Z,-54.4856,-135.708,10,6.1,Pacific-Antarctic Ridge
2015-09-26T02:51:18.830Z,-30.8148,-71.3217,46,6.3,Chile
2015-09-24T15:53:27.740Z,-0.6212,131.2622,18,6.6,Indonesia
2015-09-22T07:13:00.520Z,-31.4441,-71.2653,58,6,Chile
2015-09-21T17:40:00.060Z,-31.7275,-71.3792,35,6.6,Chile
2015-09-21T05:39:34.910Z,-31.5757,-71.7431,30,6.1,Chile
2015-09-19T12:52:20.920Z,-32.3335,-72.0629,18,6.2,Chile
2015-09-19T05:06:47.500Z,-29.6411,-72.077,6,6.1,Chile
2015-09-18T15:59:42.640Z,15.2767,-45.9886,10,6,Northern Mid-Atlantic Ridge
2015-09-18T09:10:44.730Z,-32.3681,-72.2292,8,6.2,Chile
2015-09-17T04:10:27.780Z,-31.5173,-71.804,23,6.7,Chile
2015-09-17T03:55:15.430Z,-31.4244,-71.6876,27,6.5,Chile
2015-09-17T01:41:05.870Z,-31.1043,-71.6504,42.32,6.4,Chile
2015-09-16T23:18:41.850Z,-31.5622,-71.4262,28.41,7,Chile
2015-09-16T23:16:09.440Z,-31.6,-71.9189,35,6.1,Chile
2015-09-16T23:03:56.560Z,-31.7502,-71.7425,19.1,6.1,Chile
2015-09-16T22:59:15.000Z,-31.618,-71.745,26.7,6.4,Chile
2015-09-16T22:54:32.860Z,-31.5729,-71.6744,22.44,8.3,Chile
2015-09-16T14:03:22.110Z,-6.0114,151.4768,6,6.1,Papua New Guinea
2015-09-16T07:40:58.690Z,1.8841,126.4288,41.55,6.3,Indonesia
2015-09-13T08:14:08.560Z,24.913,-109.6226,10,6.7,Mexico
2015-09-10T10:26:44.810Z,52.0985,-169.5349,20,6,Alaska
2015-09-07T09:13:56.600Z,-32.8199,-177.8599,17,6.3,New Zealand
2015-09-07T08:46:09.050Z,-24.2427,179.1278,535,6,South of the Fiji Islands
2015-09-01T15:25:09.520Z,31.1806,141.6,8,6,Japan
2015-08-24T09:41:26.630Z,-30.6502,-178.7298,228,6,New Zealand
2015-08-15T07:47:06.500Z,-10.8968,163.8226,8,6.4,Solomon Islands
2015-08-13T10:39:53.840Z,-37.0152,78.0623,10,6,France
2015-08-12T18:49:24.080Z,-9.3293,157.8772,6.43,6.5,Solomon Islands
2015-08-10T04:12:15.810Z,-9.3438,158.0525,22,6.6,Solomon Islands
2015-08-06T23:59:46.290Z,-26.4576,-178.2511,269,6,South of the Fiji Islands
2015-07-29T02:35:59.000Z,59.8935,-153.1961,119.3,6.3,Alaska
2015-07-27T21:41:21.710Z,-2.6286,138.5277,48,7,Indonesia
2015-07-27T04:49:46.400Z,52.376,-169.4458,29,6.9,Alaska
2015-07-18T02:27:33.820Z,-10.4012,165.1409,11,7,Solomon Islands
2015-07-16T15:16:33.780Z,13.8672,-58.5479,20,6.5,Barbados
2015-07-10T04:12:42.540Z,-9.307,158.403,12,6.7,Solomon Islands
2015-07-07T05:10:28.120Z,43.9097,147.9748,49,6.3,Russia
2015-07-03T06:43:21.540Z,10.1691,125.8907,32,6.1,Philippines
2015-07-03T01:07:47.290Z,37.4593,78.1542,20,6.4,China
2015-07-01T19:35:21.460Z,-10.9911,162.5558,12,6,Solomon Islands
2015-06-30T03:39:29.410Z,-5.4513,151.5457,43,6,Papua New Guinea
2015-06-25T18:45:57.450Z,-32.0722,-178.3241,10,6,New Zealand
2015-06-23T12:18:30.270Z,27.7375,139.7254,460,6.5,Japan
2015-06-21T21:28:16.270Z,-20.4307,-178.3276,562.61,6,Fiji
2015-06-20T02:10:07.100Z,-36.3601,-73.812,11,6.4,Chile
2015-06-17T12:51:32.790Z,-35.3639,-17.1605,10,7,Southern Mid-Atlantic Ridge
2015-06-12T11:07:08.040Z,-15.6758,-173.0098,48,6,Tonga
2015-06-10T13:52:09.770Z,-22.4,-68.4323,124,6,Chile
2015-06-08T06:01:08.300Z,41.5615,142.0308,42,6.1,Japan
2015-06-04T23:15:43.910Z,5.9867,116.5409,10,6,Malaysia
2015-05-30T18:49:07.340Z,30.7856,142.9722,6.05,6.2,Japan region
2015-05-30T17:18:35.040Z,-15.7216,-173.3817,10,6,Tonga
2015-05-30T11:23:02.110Z,27.8386,140.4931,664,7.8,Japan
2015-05-29T07:00:09.000Z,56.594,-156.43,72.6,6.7,Alaska
2015-05-24T14:38:59.510Z,-19.3933,-175.9627,10,6.2,Tonga
2015-05-24T04:53:23.630Z,-16.855,-14.1708,10,6.3,Southern Mid-Atlantic Ridge
2015-05-22T23:59:33.770Z,-11.1093,163.2154,10,6.8,Solomon Islands
2015-05-22T21:45:19.480Z,-11.0559,163.6959,11.19,6.9,Solomon Islands
2015-05-20T22:48:53.420Z,-10.8759,164.1694,11,6.8,Solomon Islands
2015-05-20T00:30:54.700Z,-19.3021,-175.5247,203,6,Tonga
2015-05-19T15:25:21.080Z,-54.3312,-132.1618,7.2,6.7,Pacific-Antarctic Ridge
2015-05-15T20:26:56.870Z,-2.542,102.2191,151,6,Indonesia
2015-05-12T21:12:58.890Z,38.9056,142.0317,35,6.8,Japan
2015-05-12T07:36:54.490Z,27.625,86.1617,15,6.3,Nepal
2015-05-12T07:05:19.730Z,27.8087,86.0655,15,7.3,Nepal
2015-05-10T21:25:46.440Z,31.2373,142.0157,6,6,Japan
2015-05-07T07:10:19.590Z,-7.2175,154.5567,10,7.1,Papua New Guinea
2015-05-05T01:44:06.380Z,-5.4624,151.8751,55,7.5,Papua New Guinea
2015-05-03T22:32:39.010Z,-5.6314,151.6757,24,6,Papua New Guinea
2015-05-01T08:06:52.250Z,-5.4912,151.8715,35,6,Papua New Guinea
2015-05-01T08:06:03.480Z,-5.2005,151.7773,44,6.8,Papua New Guinea
2015-04-30T10:45:02.930Z,-5.375,151.7706,31,6.7,Papua New Guinea
2015-04-28T16:39:39.190Z,-20.8865,-178.6329,581,6.1,Fiji
2015-04-26T07:09:10.670Z,27.7711,86.0173,22.91,6.7,Nepal
2015-04-25T06:45:21.320Z,28.2244,84.8216,10,6.6,Nepal
2015-04-25T06:15:22.910Z,27.6285,85.5398,10,6.1,Nepal
2015-04-25T06:11:25.950Z,28.2305,84.7314,8.22,7.8,Nepal
2015-04-24T13:56:15.180Z,51.6148,-130.7714,8,6.2,Canada
2015-04-24T03:36:42.400Z,-42.0602,173.0066,48,6.1,New Zealand
2015-04-22T22:57:15.650Z,-12.039,166.432,72,6.2,Solomon Islands
